Customer ID,Avg Days After Last Visit,Avg Money Spent on Ticket,Avg People Appeared With,Snacks Preferred,Loyalty Points,Membership Subscription,Willingness to Suggest Friends,Season,Total Visits Last 6 Months,Total Money Spent per Visit,Avg Money Spent per Visit,Distance Theatre from Residence
924197,21,10,2,None,6,Gold,9,Non-holiday,14,12.1,0.8642239840011428,0.1
562958,3,5,1,Popcorn,50,Gold,9,Non-holiday,7,15.12,2.1596914726467644,1.9
381632,11,5,2,Popcorn,43,Silver,5,Non-holiday,10,28.0,2.7997200279972003,4.0
363028,11,3,2,Popcorn,36,None,6,Non-holiday,10,19.39,1.9388061193880615,5.8
176588,27,3,0,Nachos,81,Platinum,3,Non-holiday,13,7.07,0.5438043227444043,2.8
360610,55,10,2,Popcorn,1,None,6,Holiday,5,22.27,4.453109378124375,4.8
313802,6,3,1,Nachos,26,Gold,10,Non-holiday,8,27.64,3.454568178977628,5.7
938521,17,5,4,Popcorn,54,Gold,4,Non-holiday,5,21.9,4.379124175164966,4.1
328815,44,3,2,Popcorn,37,Silver,3,Holiday,13,15.06,1.1583724328897778,12.4
674253,57,10,5,Popcorn,69,Gold,6,Non-holiday,8,18.29,2.2859642544681917,4.8
547239,5,3,3,None,22,None,8,Holiday,12,29.35,2.4456295308724276,2.3
492904,5,5,1,None,67,Silver,7,Holiday,9,11.62,1.2909676702588602,4.6
140937,53,10,1,Nachos,19,None,8,Non-holiday,11,16.43,1.493500590855377,2.4
512461,51,3,1,Popcorn,19,Gold,10,Non-holiday,10,22.4,2.23977602239776,4.6
307937,40,10,1,Popcorn,84,None,1,Non-holiday,10,26.44,2.6437356264373566,4.2
187821,40,3,3,Popcorn,16,None,10,Non-holiday,10,12.63,1.2628737126287373,6.5
736402,58,3,3,Popcorn,46,Silver,1,Non-holiday,11,26.93,2.447959276429416,4.0
781209,51,5,3,Popcorn,82,Silver,8,Non-holiday,12,17.6,1.4665444546287811,5.9
720230,19,10,2,Popcorn,86,None,2,Non-holiday,6,13.42,2.236293951008165,4.8
912391,39,3,1,Nachos,72,Silver,4,Non-holiday,12,26.19,2.182318140154987,5.5
118675,25,3,1,Popcorn,14,None,2,Non-holiday,10,29.08,2.907709229077092,4.7
302361,59,5,0,Nachos,49,Silver,8,Non-holiday,8,17.59,2.198475190601175,1.3
853594,51,3,1,Popcorn,20,None,10,Non-holiday,18,22.89,1.2715960224431975,4.3
522606,59,5,2,Popcorn,37,None,3,Non-holiday,6,15.5,2.582902849525079,4.3
690831,53,3,0,Popcorn,44,Gold,7,Non-holiday,11,27.72,2.5197709299154623,1.9
640867,25,3,3,Popcorn,38,Silver,7,Non-holiday,9,22.84,2.537495833796245,2.2
301108,19,3,3,Popcorn,59,Gold,4,Non-holiday,10,23.76,2.3757624237576245,2.1
165878,34,5,2,Popcorn,96,None,1,Non-holiday,6,30.19,5.030828195300783,6.4
405144,7,3,2,Hotdog,4,Silver,6,Non-holiday,4,26.06,6.513371657085727,8.5
461301,37,3,2,None,71,Platinum,5,Non-holiday,6,24.39,4.0643226128978505,2.6
490754,14,3,1,Hotdog,86,Silver,9,Non-holiday,13,26.17,2.012922082916699,6.9
908857,18,3,1,Nachos,9,Silver,3,Non-holiday,7,14.35,2.0497071846879016,2.8
426751,51,3,2,Popcorn,96,Gold,5,Non-holiday,13,17.75,1.365279593877394,8.2
397949,3,3,1,Nachos,78,Gold,10,Non-holiday,5,33.16,6.630673865226954,4.1
225295,55,3,4,Popcorn,72,None,10,Non-holiday,6,13.14,2.1896350608231963,6.7
664709,22,5,1,Nachos,12,None,7,Non-holiday,7,13.6,1.942579631481217,6.0
544683,4,3,3,None,44,None,6,Non-holiday,9,15.15,1.6831463170758807,4.0
102475,59,5,4,Popcorn,38,Silver,5,Non-holiday,14,21.47,1.5334618955788872,2.6
873824,5,5,2,Popcorn,38,Silver,8,Holiday,9,25.1,2.7885790467725813,2.1
225284,20,3,3,Hotdog,14,None,4,Non-holiday,11,14.13,1.2844286883010636,10.3
733216,39,5,3,Hotdog,17,Gold,9,Non-holiday,7,23.9,3.4137980288530207,5.6
823236,45,10,2,Popcorn,9,None,5,Holiday,13,24.28,1.8675486501038383,4.1
781546,30,3,2,Nachos,98,None,3,Holiday,5,23.65,4.729054189162167,6.7
142237,47,3,2,Popcorn,79,None,2,Holiday,9,24.97,2.7741362070881013,5.0
435649,27,10,2,Popcorn,78,Platinum,8,Holiday,14,11.78,0.8413684736804514,9.4
647640,15,3,1,Nachos,94,Silver,3,Non-holiday,12,20.42,1.7015248729272563,1.4
750415,2,5,2,Popcorn,85,Platinum,7,Non-holiday,7,29.7,4.242251106984716,7.2
273148,31,5,3,Hotdog,76,Gold,1,Holiday,9,16.45,1.8275747139206755,5.4
434982,43,5,1,Popcorn,24,Gold,4,Holiday,14,7.46,0.5328190843511178,2.0
642667,49,3,2,Popcorn,84,None,3,Non-holiday,13,14.53,1.117606337974002,6.4
346901,45,5,4,Popcorn,34,None,5,Non-holiday,15,28.71,1.9138724085060996,4.9
340644,12,5,2,Popcorn,5,Silver,7,Non-holiday,10,20.17,2.0167983201679833,4.5
332361,37,5,1,Popcorn,56,Gold,4,Non-holiday,7,21.74,3.1052706756177684,4.1
191947,45,10,2,Nachos,83,Silver,9,Non-holiday,11,30.68,2.7888373784201437,5.3
374452,29,3,2,Popcorn,76,Silver,8,Non-holiday,7,24.16,3.4509355806313384,6.0
976203,44,5,1,Nachos,55,Gold,9,Non-holiday,6,18.4,3.0661556407265453,8.4
911575,52,10,2,Hotdog,60,Silver,1,Non-holiday,13,16.68,1.2829782324436583,7.8
120373,57,5,1,Popcorn,99,None,1,Holiday,10,12.71,1.2708729127087293,9.2
627694,33,3,3,Popcorn,76,Silver,5,Non-holiday,6,17.65,2.941176470588235,3.8
285598,44,10,3,Hotdog,76,Platinum,6,Holiday,13,26.94,2.0721482962849014,2.5
845842,23,5,3,None,35,Silver,9,Non-holiday,8,23.81,2.975878015248094,4.0
106146,2,5,2,Hotdog,96,Platinum,10,Non-holiday,9,16.78,1.8642373069658928,6.8
184650,56,3,2,Hotdog,71,None,4,Non-holiday,8,16.07,2.008498937632796,5.4
127697,38,5,3,Popcorn,47,Silver,8,Non-holiday,9,29.82,3.3129652260859905,4.9
741733,26,5,3,Nachos,7,Silver,5,Non-holiday,12,22.11,1.842346471127406,4.8
342503,11,5,2,Nachos,75,Platinum,9,Non-holiday,9,15.53,1.725363848461282,2.9
796365,5,5,3,Nachos,4,None,8,Non-holiday,11,16.98,1.543496045814017,4.1
523106,59,3,4,Popcorn,82,Silver,5,Non-holiday,14,23.06,1.6470252124848226,9.2
363598,26,3,1,Popcorn,92,None,9,Non-holiday,12,24.25,2.020664944587951,7.8
726144,48,3,2,Nachos,80,Silver,2,Non-holiday,13,20.39,1.5683408968540882,1.9
918710,41,5,1,Popcorn,0,None,9,Holiday,7,19.45,2.778174546493358,2.0
957570,20,3,2,Hotdog,25,Silver,8,Holiday,10,21.6,2.1597840215978406,7.7
695822,23,3,4,None,15,None,3,Non-holiday,10,23.98,2.3977602239776026,5.5
749920,48,10,1,Popcorn,48,Gold,5,Non-holiday,9,27.15,3.016331518720142,5.1
875260,47,3,0,Popcorn,100,None,7,Non-holiday,12,16.06,1.3382218148487626,5.9
525664,56,5,2,Popcorn,73,Gold,9,Holiday,7,10.31,1.4726467647478931,5.2
638387,30,3,4,Hotdog,92,Gold,7,Non-holiday,12,26.66,2.221481543204733,5.7
459569,12,5,2,Popcorn,30,Silver,3,Non-holiday,11,14.08,1.2798836469411872,4.7
437427,22,5,0,Hotdog,34,Gold,10,Non-holiday,11,16.12,1.4653213344241434,5.1
521681,26,5,1,Popcorn,89,Silver,7,Non-holiday,9,21.92,2.435284968336852,5.9
790154,15,3,0,Nachos,67,Gold,6,Non-holiday,8,21.42,2.6771653543307092,4.5
532741,47,3,1,Hotdog,42,Gold,4,Holiday,13,21.37,1.643719713868164,4.2
688573,43,5,2,Nachos,85,None,5,Holiday,10,16.76,1.6758324167583245,7.5
941400,53,10,1,Popcorn,79,Platinum,6,Non-holiday,10,21.08,2.1077892210778923,2.9
665978,49,3,0,None,96,None,1,Non-holiday,12,26.14,2.17815182068161,6.1
219406,22,3,3,Hotdog,100,None,5,Holiday,10,17.96,1.7958204179582045,5.5
957297,58,5,2,Popcorn,75,Platinum,8,Holiday,12,14.44,1.2032330639113407,5.1
211347,4,5,2,Popcorn,66,None,2,Non-holiday,8,22.5,2.81214848143982,1.9
693875,17,5,1,Popcorn,32,Platinum,5,Non-holiday,8,25.28,3.1596050493688295,5.3
841384,24,5,2,Popcorn,50,None,4,Non-holiday,11,22.15,2.0134533224252342,4.7
482841,48,5,3,Nachos,76,Silver,2,Non-holiday,11,19.41,1.7643850559040088,7.3
273308,50,10,3,Nachos,98,Gold,6,Non-holiday,8,22.84,2.8546431696037997,2.5
423471,13,3,2,Popcorn,9,Gold,7,Holiday,14,26.03,1.8591529176487396,9.2
832368,41,5,1,Hotdog,22,Gold,3,Non-holiday,11,20.16,1.8325606763021545,6.9
842595,53,3,2,Popcorn,42,None,9,Non-holiday,6,17.52,2.919513414430928,5.9
110406,21,3,2,Hotdog,32,Platinum,10,Non-holiday,14,21.13,1.5091779158631526,7.9
136888,46,5,1,Popcorn,92,None,10,Non-holiday,12,25.35,2.11232397300225,3.8
126546,54,5,3,Popcorn,15,None,6,Non-holiday,13,29.19,2.245211906776402,5.2
866450,42,10,3,Nachos,60,Silver,4,Non-holiday,11,29.86,2.7142987001181713,8.0
125280,56,5,2,None,77,Gold,2,Non-holiday,10,17.64,1.7638236176382363,6.7
510757,56,3,2,Popcorn,0,Silver,5,Holiday,8,16.2,2.0247469066366706,4.4
284063,16,5,3,Hotdog,6,Silver,2,Non-holiday,6,24.76,4.125979003499417,2.9
278362,6,3,3,Hotdog,5,Platinum,8,Non-holiday,14,29.56,2.111277765873866,5.1
862525,48,3,3,Hotdog,95,None,7,Non-holiday,6,24.63,4.104315947342109,5.7
440865,48,3,3,Nachos,15,Gold,10,Holiday,8,24.66,3.082114735658043,7.3
141729,43,3,2,Nachos,63,Platinum,2,Non-holiday,11,9.44,0.8581038087446595,1.5
220192,4,5,1,Popcorn,94,None,7,Non-holiday,7,9.35,1.3355234966433365,3.5
885202,38,3,3,Popcorn,16,None,2,Non-holiday,6,17.68,2.9461756373937673,7.4
538136,1,10,1,Popcorn,89,Platinum,10,Holiday,6,17.98,2.9961673054490916,5.5
167072,5,5,3,None,33,None,2,Holiday,4,19.36,4.8387903024243935,9.2
994983,53,5,2,Popcorn,99,None,5,Non-holiday,16,25.25,1.5780263733516653,7.2
669175,43,5,2,None,8,Silver,2,Non-holiday,3,24.15,8.047317560813061,4.0
392618,48,3,1,Nachos,93,None,2,Non-holiday,15,15.66,1.0439304046396907,5.2
489089,4,10,1,Nachos,96,Silver,10,Non-holiday,15,15.13,1.0085994267048863,6.3
527742,52,5,3,Popcorn,94,Silver,4,Non-holiday,6,11.95,1.9913347775370769,4.7
890309,54,5,0,Nachos,8,Gold,8,Holiday,16,18.75,1.1718017623898505,4.4
516875,14,10,3,Hotdog,58,Silver,2,Non-holiday,9,7.79,0.8654593934007333,6.6
443269,35,10,0,Popcorn,97,None,7,Non-holiday,8,20.71,2.5884264466941636,3.5
707848,52,5,2,Popcorn,77,Silver,8,Non-holiday,9,16.26,1.806465948227975,4.0
221412,7,3,4,Popcorn,40,Silver,7,Non-holiday,10,21.98,2.197780221977802,2.0
388002,35,3,1,Popcorn,100,Gold,4,Holiday,7,31.52,4.502213969432938,1.7
112765,1,3,0,Popcorn,2,Gold,3,Holiday,14,14.42,1.0299264338261553,4.2
343764,18,5,4,None,72,Platinum,10,Non-holiday,7,15.61,2.229681474075132,1.2
464060,22,5,1,Hotdog,100,Gold,1,Holiday,7,21.59,3.083845164976432,3.5
910932,13,3,2,Popcorn,56,None,10,Non-holiday,6,15.86,2.6428928511914678,4.8
986803,58,10,3,Hotdog,85,Gold,9,Holiday,13,18.76,1.4429659256980234,7.1
357070,35,10,4,None,90,Gold,2,Non-holiday,8,19.05,2.3809523809523814,5.1
823563,49,3,0,Hotdog,36,None,3,Non-holiday,10,21.98,2.197780221977802,4.6
555576,44,5,3,Popcorn,60,Platinum,9,Non-holiday,6,22.83,3.8043659390101645,6.2
606263,59,5,1,Popcorn,29,Silver,9,Holiday,14,18.39,1.3134776087422328,8.3
549427,53,5,2,Popcorn,48,Silver,4,Non-holiday,10,28.9,2.88971102889711,8.3
503012,59,3,2,Popcorn,9,Silver,8,Non-holiday,6,21.8,3.6327278786868855,4.5
781581,11,3,2,Nachos,3,None,5,Non-holiday,8,16.65,2.0809898762654666,3.6
354993,35,10,4,Nachos,43,None,7,Non-holiday,6,13.45,2.2412931178136977,6.9
773663,56,3,2,Hotdog,79,Gold,5,Holiday,8,10.57,1.321084864391951,2.9
899690,36,10,3,Nachos,83,Platinum,7,Non-holiday,8,18.44,2.304711911011124,5.0
183720,51,3,3,Hotdog,100,Silver,1,Non-holiday,6,8.16,1.3597733711048159,5.6
646843,13,3,2,Popcorn,24,Gold,3,Holiday,7,17.75,2.535352092558206,4.2
161769,36,5,2,Popcorn,84,Silver,7,Non-holiday,15,12.97,0.8646090260649291,5.4
753483,28,5,1,Popcorn,34,Silver,3,Non-holiday,11,21.86,1.9870920825379512,6.7
454854,1,3,2,Popcorn,48,Gold,10,Non-holiday,8,21.72,2.714660667416573,5.9
496323,45,10,2,Popcorn,3,Silver,1,Non-holiday,6,19.61,3.267788701883019,2.9
721692,20,3,2,Hotdog,77,Silver,3,Holiday,10,16.31,1.6308369163083691,5.3
562418,35,5,2,Popcorn,85,Silver,5,Non-holiday,12,19.38,1.61486542788101,6.4
166701,48,3,4,Hotdog,11,None,6,Non-holiday,7,25.83,3.6894729324382225,5.0
919601,48,10,2,Nachos,43,None,8,Holiday,6,17.41,2.9011831361439757,7.4
648138,57,3,1,Nachos,86,Platinum,9,Non-holiday,11,20.45,1.8589219161894373,3.5
